inning,inning_topbot,outs_when_up,1b,2b,3b,current_re24,situation_occurrences,eligible_games,higher_re_occurs_count,higher_re_occurs_pct
6,Bot,2,False,True,True,0.5347255949490044,236,7284,6723,0.9229818780889621
6,Bot,2,True,True,True,0.7707733891359316,319,7284,6554,0.899780340472268
7,Top,0,False,False,False,0.49432005064898776,7284,7284,7106,0.9755628775398133
7,Top,0,True,False,False,0.8878149539389397,1807,7283,5144,0.7063023479335439
7,Top,0,False,True,False,1.109643815436418,347,7282,3539,0.4859928591046416
7,Top,0,False,False,True,1.3858590733590734,38,7282,2756,0.3784674539961549
7,Top,0,True,True,False,1.47952434803468,424,7283,1968,0.2702183166277633
7,Top,0,True,False,True,1.8029265255292648,110,7282,747,0.10258170832188959
7,Top,0,False,True,True,1.918237170194259,87,7282,469,0.06440538313650096
7,Top,0,True,True,True,2.268160644592723,98,7282,0,0.0
7,Top,1,False,False,False,0.2639268201849667,5302,7283,7283,1.0
7,Top,1,True,False,False,0.5240708686902802,2246,7283,6515,0.8945489496086777
7,Top,1,False,True,False,0.6679592825981581,678,7282,6276,0.8618511397967591
7,Top,1,False,False,True,0.9123045547246772,182,7282,4823,0.662318044493271
7,Top,1,True,True,False,0.9302515931635259,767,7283,4095,0.562268296031855
7,Top,1,True,False,True,1.1652308995904532,292,7282,3086,0.42378467453996155
7,Top,1,False,True,True,1.3486698911729142,228,7282,2865,0.393435869266685
7,Top,1,True,True,True,1.5565524426950683,234,7282,1137,0.15613842351002472
7,Top,2,False,False,False,0.1001532004737628,4215,7282,7282,1.0
7,Top,2,True,False,False,0.2213896929490464,2208,7282,7282,1.0
7,Top,2,False,True,False,0.3072789447972643,832,7282,7282,1.0
7,Top,2,False,False,True,0.3336989761999734,334,7282,7282,1.0
7,Top,2,True,True,False,0.4312991506763133,914,7283,7282,0.999862693944803
7,Top,2,True,False,True,0.4695498381553041,439,7282,7282,1.0
7,Top,2,False,True,True,0.5347255949490044,232,7282,6416,0.8810766273001922
7,Top,2,True,True,True,0.7707733891359316,307,7282,6196,0.8508651469376545
7,Bot,0,False,False,False,0.49432005064898776,7282,7282,6926,0.9511123317769844
7,Bot,0,True,False,False,0.8878149539389397,1808,7280,4596,0.6313186813186813
7,Bot,0,False,True,False,1.109643815436418,371,7280,2971,0.4081043956043956
7,Bot,0,False,False,True,1.3858590733590734,42,7280,2241,0.30782967032967035
7,Bot,0,True,True,False,1.47952434803468,411,7280,1590,0.2184065934065934
7,Bot,0,True,False,True,1.8029265255292648,133,7280,605,0.0831043956043956
7,Bot,0,False,True,True,1.918237170194259,91,7280,388,0.053296703296703295
7,Bot,0,True,True,True,2.268160644592723,100,7280,0,0.0
7,Bot,1,False,False,False,0.2639268201849667,5298,7282,7282,1.0
7,Bot,1,True,False,False,0.5240708686902802,2221,7280,6055,0.8317307692307693
7,Bot,1,False,True,False,0.6679592825981581,695,7281,5747,0.7893146545804148
7,Bot,1,False,False,True,0.9123045547246772,182,7280,4173,0.5732142857142857
7,Bot,1,True,True,False,0.9302515931635259,787,7280,3515,0.48282967032967034
7,Bot,1,True,False,True,1.1652308995904532,326,7280,2547,0.34986263736263734
7,Bot,1,False,True,True,1.3486698911729142,200,7280,2344,0.321978021978022
7,Bot,1,True,True,True,1.5565524426950683,251,7280,904,0.12417582417582418
7,Bot,2,False,False,False,0.1001532004737628,4173,7281,7281,1.0
7,Bot,2,True,False,False,0.2213896929490464,2229,7280,7280,1.0
7,Bot,2,False,True,False,0.3072789447972643,942,7282,7280,0.9997253501785224
7,Bot,2,False,False,True,0.3336989761999734,340,7280,7280,1.0
7,Bot,2,True,True,False,0.4312991506763133,979,7280,7280,1.0
7,Bot,2,True,False,True,0.4695498381553041,470,7280,7280,1.0
7,Bot,2,False,True,True,0.5347255949490044,243,7280,5902,0.8107142857142857
7,Bot,2,True,True,True,0.7707733891359316,353,7280,5631,0.773489010989011
8,Top,0,False,False,False,0.49432005064898776,7280,7280,6612,0.9082417582417582
8,Top,0,True,False,False,0.8878149539389397,1781,7279,3858,0.5300178595960984
8,Top,0,False,True,False,1.109643815436418,363,7279,2332,0.3203736777029812
8,Top,0,False,False,True,1.3858590733590734,45,7279,1716,0.2357466684984201
8,Top,0,True,True,False,1.47952434803468,422,7279,1260,0.17310070064569308
8,Top,0,True,False,True,1.8029265255292648,132,7279,439,0.06031048220909466
8,Top,0,False,True,True,1.918237170194259,85,7279,266,0.0365434812474241
8,Top,0,True,True,True,2.268160644592723,118,7279,0,0.0
8,Top,1,False,False,False,0.2639268201849667,5311,7280,7280,1.0
8,Top,1,True,False,False,0.5240708686902802,2180,7280,5321,0.7309065934065934
8,Top,1,False,True,False,0.6679592825981581,634,7279,4953,0.6804506113477126
8,Top,1,False,False,True,0.9123045547246772,185,7279,3371,0.4631130649814535
8,Top,1,True,True,False,0.9302515931635259,702,7279,2776,0.38137106745432064
8,Top,1,True,False,True,1.1652308995904532,327,7279,1971,0.2707789531529056
8,Top,1,False,True,True,1.3486698911729142,223,7279,1802,0.2475614782250309
8,Top,1,True,True,True,1.5565524426950683,230,7279,654,0.08984750652562165
8,Top,2,False,False,False,0.1001532004737628,4213,7279,7279,1.0
8,Top,2,True,False,False,0.2213896929490464,2278,7280,7279,0.9998626373626374
8,Top,2,False,True,False,0.3072789447972643,873,7279,7279,1.0
8,Top,2,False,False,True,0.3336989761999734,362,7279,7279,1.0
8,Top,2,True,True,False,0.4312991506763133,908,7279,7279,1.0
8,Top,2,True,False,True,0.4695498381553041,481,7279,7279,1.0
8,Top,2,False,True,True,0.5347255949490044,210,7279,5127,0.7043549938178321
8,Top,2,True,True,True,0.7707733891359316,300,7279,4825,0.6628657782662454
8,Bot,0,False,False,False,0.49432005064898776,7279,7279,5983,0.8219535650501443
8,Bot,0,True,False,False,0.8878149539389397,1808,7278,2893,0.3974993129980764
